name	search_text	ric	boost
Alliant Energy Corp	LNT Alliant Alliant Energy Alliant Energy Corp	LNT.OQ	1.16949945
Molson Coors Brewing Co	TAP Molson Molson Coors Molson Coors Brewing Molson Coors Brewing Co	TAP.N	1.158789259
Kansas City Southern	KSU Kansas Kansas City Kansas City Southern	KSU.N	1.158652073
Sun Communities Inc	SUI Sun Sun Communities Sun Communities Inc	SUI.N	1.15350898
Norwegian Cruise Line Holdings Ltd	NCLH Norwegian Norwegian Cruise Norwegian Cruise Line Norwegian Cruise Line Holdings Norwegian Cruise Line Holdings Ltd	NCLH.N	1.151955775
Elanco Animal Health Inc	ELAN Elanco Elanco Animal Elanco Animal Health Elanco Animal Health Inc	ELAN.N	1.1512348940000001
PagSeguro Digital Ltd	PAGS PagSeguro PagSeguro Digital PagSeguro Digital Ltd	PAGS.N	1.148159908
Raymond James Financial Inc	RJF Raymond Raymond James Raymond James Financial Raymond James Financial Inc	RJF.N	1.145376521
Ally Financial Inc	ALLY Ally Ally Financial Ally Financial Inc	ALLY.N	1.1430257
Roku Inc	ROKU Roku Roku Inc	ROKU.OQ	1.13878771
Regency Centers Corp	REG Regency Regency Centers Regency Centers Corp	REG.OQ	1.136718387
Domino's Pizza Inc	DPZ Domino's Domino's Pizza Domino's Pizza Inc	DPZ.N	1.136600135
JBG SMITH Properties	JBGS JBG JBG SMITH JBG SMITH Properties	JBGS.N	1.1362552879999999
Textron Inc	TXT Textron Textron Inc	TXT.N	1.134066167
Old Dominion Freight Line Inc	ODFL Old Old Dominion Old Dominion Freight Old Dominion Freight Line Old Dominion Freight Line Inc	ODFL.OQ	1.132840883
Under Armour Inc	UAA Under Under Armour Under Armour Inc	UAA.N	1.130408769
Vistra Energy Corp	VST Vistra Vistra Energy Vistra Energy Corp	VST.N	1.130289044
C.H. Robinson Worldwide Inc	CHRW C.H. C.H. Robinson C.H. Robinson Worldwide C.H. Robinson Worldwide Inc	CHRW.OQ	1.1262026459999999
Erie Indemnity Co	ERIE Erie Erie Indemnity Erie Indemnity Co	ERIE.OQ	1.1251227320000001
Duke Realty Corp	DRE Duke Duke Realty Duke Realty Corp	DRE.N	1.124385577
Leidos Holdings Inc	LDOS Leidos Leidos Holdings Leidos Holdings Inc	LDOS.N	1.120234641
SVB Financial Group	SIVB SVB SVB Financial SVB Financial Group	SIVB.OQ	1.1184197790000001
AES Corp	AES AES AES Corp	AES.N	1.117612147
